class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
341,112,92,175,167,178,125,98,169,126,150
342,107,100,177,175,159,116,124,176,131,160
343,92,103,171,171,134,165,176,98,155,124
344,100,109,173,178,137,155,180,111,140,135
345,99,93,178,171,165,129,104,175,127,157
346,98,103,168,172,121,154,174,111,175,115
347,98,106,173,172,122,146,169,117,166,128
348,100,109,173,178,137,155,180,111,140,135
349,99,93,178,171,165,129,104,175,127,157
350,98,103,168,172,121,154,174,111,175,115
351,99,100,178,174,155,128,106,173,116,124
352,86,97,179,172,141,157,179,107,157,123
353,90,103,168,169,127,143,167,122,155,110
354,87,77,164,154,135,142,176,114,162,121
355,87,75,160,167,168,128,99,177,136,156
356,77,103,175,171,131,157,179,117,165,123
357,89,90,164,159,139,152,175,119,173,135
358,106,95,175,179,173,144,107,176,120,122
359,96,103,177,177,136,172,177,103,146,119
360,95,110,166,171,123,151,174,132,176,132
361,89,106,179,177,146,180,171,92,166,118
362,94,102,174,174,134,176,176,104,160,131
363,95,81,172,173,172,122,103,177,132,156
364,91,99,158,168,165,120,106,156,128,161
365,23,95,117,177,111,148,143,122,140,125
366,115,93,174,179,176,95,118,177,109,38
367,71,119,177,179,126,159,180,106,173,139
368,105,113,168,173,134,143,180,114,165,118
369,97,90,177,172,165,141,88,177,117,179
370,78,108,179,176,125,166,178,106,164,123
371,84,101,171,162,148,165,176,102,131,105
372,104,96,178,175,135,143,175,119,156,125
373,104,108,176,175,163,139,110,177,114,152
374,86,72,168,161,138,114,138,174,136,160
375,98,97,172,173,119,153,174,128,138,123
376,90,100,160,173,133,174,173,94,128,125
377,100,84,164,168,171,126,98,175,96,125
378,95,102,179,172,122,144,177,122,157,125
379,102,105,179,166,117,144,162,125,166,154
380,91,109,180,176,131,168,179,107,140,123
381,84,101,171,162,148,165,176,102,131,105
382,107,93,178,176,155,112,118,179,135,172
383,105,113,168,173,134,143,180,114,165,118
384,99,101,175,176,136,108,137,170,119,102
385,95,110,166,171,123,151,174,132,176,132
386,101,124,156,173,151,157,174,113,121,120
387,101,97,177,176,140,120,133,180,125,179
388,96,103,177,177,136,172,177,103,146,119
389,99,101,175,176,136,108,137,170,119,102
390,105,113,168,173,134,143,180,114,165,118
391,94,93,162,164,167,136,111,179,115,153
392,87,110,178,176,130,157,177,123,155,127
393,97,111,163,180,119,143,178,135,142,133
394,105,90,173,176,141,103,134,179,116,149
395,107,106,180,174,128,140,176,126,174,122
396,103,97,177,180,171,146,102,176,112,178
397,99,85,176,159,139,174,179,100,168,130
398,83,102,178,179,144,153,179,126,156,126
399,106,122,180,178,118,163,20,45,79,180
400,64,173,174,122,166,149,179,93,178,121
401,38,100,169,171,179,140,98,171,127,157
402,106,122,180,178,118,163,20,45,79,180
403,92,102,173,178,120,169,152,94,142,130
404,95,99,176,175,134,156,178,108,146,136
405,83,102,178,179,144,153,179,126,156,126
406,99,85,176,159,139,174,179,100,168,130
407,102,110,171,179,123,141,178,122,177,121
408,96,87,174,169,148,130,102,172,123,152
409,97,93,174,177,137,173,178,104,164,109
410,90,100,160,173,133,174,173,94,128,125
411,91,108,178,176,142,173,178,102,170,130
412,81,86,152,161,112,135,178,145,161,152
413,84,90,173,173,139,150,175,119,140,117
414,104,100,177,178,166,128,107,176,115,166
415,81,86,152,161,112,135,178,145,161,152
416,84,90,173,173,139,150,175,119,140,117
417,104,100,177,178,166,128,107,176,115,166
418,91,96,180,178,133,148,179,121,172,110
419,73,91,156,155,131,159,174,121,143,134
420,99,112,173,177,138,173,171,111,175,142
421,96,99,174,178,135,155,172,114,134,111
422,88,96,178,177,143,146,174,120,125,112
423,101,95,174,175,167,138,105,179,122,149
424,93,106,175,179,131,158,180,117,136,116
425,96,85,179,175,121,146,176,127,138,129
426,95,101,179,176,122,156,175,116,139,128
427,97,104,172,173,131,156,178,119,163,121
428,100,95,169,178,126,176,173,105,179,97
